Product,RM Code,RM Desc, Qty ,Avg Speed ,Width,Production Line
B-MNT-018.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,908,,,FCB: Line-3 (BOPP)
B-MNT-018.0-XX-J,RM3500307, ASC-106,6,,,FCB: Line-3 (BOPP)
B-MNT-018.0-XX-J,RM3500310,BLOCK 102A,2,,,FCB: Line-3 (BOPP)
B-MNT-018.0-XX-J,RM3500332,MATT COMPOUND DUL STX-25 IN,84,,,FCB: Line-3 (BOPP)
B-MNT-018.0-XX-B,,,"1,000",410,6.75,
B-MNT-020.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,915,,,FCB: Line-3 (BOPP)
B-MNT-020.0-XX-J,RM3500307, ASC-106,7,,,FCB: Line-3 (BOPP)
B-MNT-020.0-XX-J,RM3500310,BLOCK 102A,2,,,FCB: Line-3 (BOPP)
B-MNT-020.0-XX-J,RM3500332,MATT COMPOUND DUL STX-25 IN,76,,,FCB: Line-3 (BOPP)
B-MNT-020.0-XX-B,,,"1,000",390,6.75,
B-TBL-020.0-XX-J,RM3000090,POLYPROPYLENE - F03RR  (BOPP)/ HMEL,806,,,FCB: Line-3 (BOPP)
B-TBL-020.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),8,,,FCB: Line-3 (BOPP)
B-TBL-020.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,177,,,FCB: Line-3 (BOPP)
B-TBL-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),5,,,FCB: Line-3 (BOPP)
B-TBL-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),4,,,FCB: Line-3 (BOPP)
B-TBL-020.0-XX-B,,,"1,000",365,6.75,
B-TBO-035.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,47,,,FCB: Line-3 (BOPP)
B-TBO-035.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),8,,,FCB: Line-3 (BOPP)
B-TBO-035.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,923,,,FCB: Line-3 (BOPP)
B-TBO-035.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),19,,,FCB: Line-3 (BOPP)
B-TBO-035.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0,,,FCB: Line-3 (BOPP)
B-TBO-035.0-XX-J,RM3500034,POLYPROPYLENE - SATO 62,3,,,FCB: Line-3 (BOPP)
B-TBO-035.0-XX-B,,Not Produced Now,"1,000",180,6.75,
B-TDM-014.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,70,,,FCB: Line-3 (BOPP)
B-TDM-014.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,1,,,FCB: Line-3 (BOPP)
B-TDM-014.0-XX-J,B-RGG-0001,RGG,17,,,FCB: Line-3 (BOPP)
B-TDM-014.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,400,,,FCB: Line-3 (BOPP)
B-TDM-014.0-XX-J,RM3000090,POLYPROPYLENE - F03RR  (BOPP)/ HMEL,509,,,FCB: Line-3 (BOPP)
B-TDM-014.0-XX-J,RM3500024,POLYPROPYLENE - HOBLOCK - 10 (PP),3,,,FCB: Line-3 (BOPP)
B-TDM-014.0-XX-B,,Not Produced Now,"1,000",380,6.75,
B-TFF-020.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,2,,,FCB: Line-3 (BOPP)
B-TFF-020.0-XX-J,RM3300165,TAFMER XM7070S,21,,,FCB: Line-3 (BOPP)
